out: -0.4124736189842224, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_0_0.tiff
out: -0.040176235139369965, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_7_0.tiff
out: -0.15076981484889984, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_8_0.tiff
out: -0.06533882021903992, target: 0.8129554390907288, filename ./data//p007/Tiles_156/p007_9_0.tiff
out: -0.037335120141506195, target: 2.5021090507507324, filename ./data//p007/Tiles_156/p007_10_0.tiff
out: -0.03224542364478111, target: 1.5980522632598877, filename ./data//p007/Tiles_156/p007_11_0.tiff
out: -0.11414317786693573, target: 0.1904260367155075, filename ./data//p007/Tiles_156/p007_12_0.tiff
out: -0.0880996435880661, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_13_0.tiff
out: -0.014533868059515953, target: 1.2550126314163208, filename ./data//p007/Tiles_156/p007_14_0.tiff
out: -0.006220519542694092, target: 0.8129554390907288, filename ./data//p007/Tiles_156/p007_15_0.tiff
out: -0.00019615917699411511, target: 3.1819632053375244, filename ./data//p007/Tiles_156/p007_17_0.tiff
out: -0.005820618476718664, target: 3.3874619007110596, filename ./data//p007/Tiles_156/p007_18_0.tiff
out: -0.018156740814447403, target: 2.944748878479004, filename ./data//p007/Tiles_156/p007_19_0.tiff
out: -0.03137606382369995, target: 1.5980522632598877, filename ./data//p007/Tiles_156/p007_20_0.tiff
out: -0.4124736189842224, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_0_0.tiff
out: -0.43262654542922974, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_2_0.tiff
out: -0.7158432602882385, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_3_0.tiff
out: -0.41866886615753174, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_4_0.tiff
out: -0.09294243901968002, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_5_0.tiff
out: -0.2699570953845978, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_6_0.tiff
out: -0.040176235139369965, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_7_0.tiff
out: -0.15076981484889984, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_8_0.tiff
out: -0.06533882021903992, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_9_0.tiff
out: -0.037335120141506195, target: 2.5021090507507324, filename ./data/p007/Tiles_156/p007_10_0.tiff
out: -0.03224542364478111, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_11_0.tiff
out: -0.11414317786693573, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_12_0.tiff
out: -0.0880996435880661, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_13_0.tiff
out: -0.014533868059515953, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_14_0.tiff
out: -0.006220519542694092, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_15_0.tiff
out: -0.00019615917699411511, target: 3.1819632053375244, filename ./data/p007/Tiles_156/p007_17_0.tiff
out: -0.005820618476718664, target: 3.3874619007110596, filename ./data/p007/Tiles_156/p007_18_0.tiff
out: -0.018156740814447403, target: 2.944748878479004, filename ./data/p007/Tiles_156/p007_19_0.tiff
out: -0.03137606382369995, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_20_0.tiff
out: -0.4124736189842224, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_0_0.tiff
out: -0.43262654542922974, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_2_0.tiff
out: -0.7158432602882385, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_3_0.tiff
out: -0.41866886615753174, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_4_0.tiff
out: -0.09294243901968002, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_5_0.tiff
out: -0.2699570953845978, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_6_0.tiff
out: -0.040176235139369965, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_7_0.tiff
out: -0.15076981484889984, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_8_0.tiff
out: -0.06533882021903992, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_9_0.tiff
out: -0.037335120141506195, target: 2.5021090507507324, filename ./data/p007/Tiles_156/p007_10_0.tiff
out: -0.03224542364478111, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_11_0.tiff
out: -0.11414317786693573, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_12_0.tiff
out: -0.0880996435880661, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_13_0.tiff
out: -0.014533868059515953, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_14_0.tiff
out: -0.006220519542694092, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_15_0.tiff
out: -0.00019615917699411511, target: 3.1819632053375244, filename ./data/p007/Tiles_156/p007_17_0.tiff
out: -0.005820618476718664, target: 3.3874619007110596, filename ./data/p007/Tiles_156/p007_18_0.tiff
out: -0.018156740814447403, target: 2.944748878479004, filename ./data/p007/Tiles_156/p007_19_0.tiff
out: -0.03137606382369995, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_20_0.tiff
out: -0.4124736189842224, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_0_0.tiff
out: -0.43262654542922974, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_2_0.tiff
out: -0.7158432602882385, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_3_0.tiff
out: -0.41866886615753174, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_4_0.tiff
out: -0.09294243901968002, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_5_0.tiff
out: -0.2699570953845978, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_6_0.tiff
out: -0.040176235139369965, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_7_0.tiff
out: -0.15076981484889984, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_8_0.tiff
out: -0.06533882021903992, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_9_0.tiff
out: -0.037335120141506195, target: 2.5021090507507324, filename ./data/p007/Tiles_156/p007_10_0.tiff
out: -0.03224542364478111, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_11_0.tiff
out: -0.11414317786693573, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_12_0.tiff
out: -0.0880996435880661, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_13_0.tiff
out: -0.014533868059515953, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_14_0.tiff
out: -0.006220519542694092, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_15_0.tiff
out: -0.00019615917699411511, target: 3.1819632053375244, filename ./data/p007/Tiles_156/p007_17_0.tiff
out: -0.005820618476718664, target: 3.3874619007110596, filename ./data/p007/Tiles_156/p007_18_0.tiff
out: -0.018156740814447403, target: 2.944748878479004, filename ./data/p007/Tiles_156/p007_19_0.tiff
out: -0.03137606382369995, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_20_0.tiff
out: -0.4124736189842224, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_0_0.tiff
out: -0.43262654542922974, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_2_0.tiff
out: -0.7158432602882385, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_3_0.tiff
out: -0.41866886615753174, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_4_0.tiff
out: -0.09294243901968002, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_5_0.tiff
out: -0.2699570953845978, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_6_0.tiff
out: -0.040176235139369965, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_7_0.tiff
out: -0.15076981484889984, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_8_0.tiff
out: -0.06533882021903992, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_9_0.tiff
out: -0.037335120141506195, target: 2.5021090507507324, filename ./data/p007/Tiles_156/p007_10_0.tiff
out: -0.03224542364478111, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_11_0.tiff
out: -0.11414317786693573, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_12_0.tiff
out: -0.0880996435880661, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_13_0.tiff
out: -0.014533868059515953, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_14_0.tiff
out: -0.006220519542694092, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_15_0.tiff
out: -0.00019615917699411511, target: 3.1819632053375244, filename ./data/p007/Tiles_156/p007_17_0.tiff
out: -0.005820618476718664, target: 3.3874619007110596, filename ./data/p007/Tiles_156/p007_18_0.tiff
out: -0.018156740814447403, target: 2.944748878479004, filename ./data/p007/Tiles_156/p007_19_0.tiff
out: -0.03137606382369995, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_20_0.tiff
out: -0.09743082523345947, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_0_0.tiff
out: -1.8745286464691162, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_2_0.tiff
out: -2.157745122909546, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_3_0.tiff
out: -1.8605709075927734, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_4_0.tiff
out: -1.5348443984985352, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_5_0.tiff
out: -1.711859107017517, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_6_0.tiff
out: 2.0361294746398926, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_7_0.tiff
out: 0.1642729789018631, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_8_0.tiff
out: 1.2796229124069214, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_9_0.tiff
out: 4.102179527282715, target: 2.5021090507507324, filename ./data/p007/Tiles_156/p007_10_0.tiff
out: 2.611588716506958, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_11_0.tiff
out: 0.20089960098266602, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_12_0.tiff
out: 1.988206148147583, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_13_0.tiff
out: 2.061771869659424, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_14_0.tiff
out: 1.338741421699524, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_15_0.tiff
out: 5.264076232910156, target: 3.1819632053375244, filename ./data/p007/Tiles_156/p007_17_0.tiff
out: 5.59843111038208, target: 3.3874619007110596, filename ./data/p007/Tiles_156/p007_18_0.tiff
out: 4.853665828704834, target: 2.944748878479004, filename ./data/p007/Tiles_156/p007_19_0.tiff
out: 2.6124579906463623, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_20_0.tiff
out: -0.7275164127349854, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_0_0.tiff
out: 1.0092754364013672, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_2_0.tiff
out: 0.7260587215423584, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_3_0.tiff
out: 1.0232330560684204, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_4_0.tiff
out: 1.3489595651626587, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_5_0.tiff
out: 1.1719448566436768, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_6_0.tiff
out: -2.1164817810058594, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_7_0.tiff
out: -0.4658125936985016, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_8_0.tiff
out: -1.4103004932403564, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_9_0.tiff
out: -4.176850318908691, target: 2.5021090507507324, filename ./data/p007/Tiles_156/p007_10_0.tiff
out: -2.676079511642456, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_11_0.tiff
out: -0.42918598651885986, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_12_0.tiff
out: -2.164405345916748, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_13_0.tiff
out: -2.0908396244049072, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_14_0.tiff
out: -1.3511823415756226, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_15_0.tiff
out: -5.264468669891357, target: 3.1819632053375244, filename ./data/p007/Tiles_156/p007_17_0.tiff
out: -5.610072612762451, target: 3.3874619007110596, filename ./data/p007/Tiles_156/p007_18_0.tiff
out: -4.889979362487793, target: 2.944748878479004, filename ./data/p007/Tiles_156/p007_19_0.tiff
out: -2.6752099990844727, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_20_0.tiff
out_ori: -0.4124736189842224out_cpy: -0.09743082523345947, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_0_0.tiff
out_ori: -0.43262654542922974out_cpy: -1.8745286464691162, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_2_0.tiff
out_ori: -0.7158432602882385out_cpy: -2.157745122909546, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_3_0.tiff
out_ori: -0.41866886615753174out_cpy: -1.8605709075927734, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_4_0.tiff
out_ori: -0.09294243901968002out_cpy: -1.5348443984985352, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_5_0.tiff
out_ori: -0.2699570953845978out_cpy: -1.711859107017517, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_6_0.tiff
out_ori: -0.040176235139369965out_cpy: 2.0361294746398926, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_7_0.tiff
out_ori: -0.15076981484889984out_cpy: 0.1642729789018631, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_8_0.tiff
out_ori: -0.06533882021903992out_cpy: 1.2796229124069214, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_9_0.tiff
out_ori: -0.037335120141506195out_cpy: 4.102179527282715, target: 2.5021090507507324, filename ./data/p007/Tiles_156/p007_10_0.tiff
out_ori: -0.03224542364478111out_cpy: 2.611588716506958, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_11_0.tiff
out_ori: -0.11414317786693573out_cpy: 0.20089960098266602, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_12_0.tiff
out_ori: -0.0880996435880661out_cpy: 1.988206148147583, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_13_0.tiff
out_ori: -0.014533868059515953out_cpy: 2.061771869659424, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_14_0.tiff
out_ori: -0.006220519542694092out_cpy: 1.338741421699524, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_15_0.tiff
out_ori: -0.00019615917699411511out_cpy: 5.264076232910156, target: 3.1819632053375244, filename ./data/p007/Tiles_156/p007_17_0.tiff
out_ori: -0.005820618476718664out_cpy: 5.59843111038208, target: 3.3874619007110596, filename ./data/p007/Tiles_156/p007_18_0.tiff
out_ori: -0.018156740814447403out_cpy: 4.853665828704834, target: 2.944748878479004, filename ./data/p007/Tiles_156/p007_19_0.tiff
out_ori: -0.03137606382369995out_cpy: 2.6124579906463623, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_20_0.tiff
out_ori: -0.4124736189842224, out_cpy: -0.09743082523345947, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_0_0.tiff
out_ori: -0.43262654542922974, out_cpy: -1.8745286464691162, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_2_0.tiff
out_ori: -0.7158432602882385, out_cpy: -2.157745122909546, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_3_0.tiff
out_ori: -0.41866886615753174, out_cpy: -1.8605709075927734, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_4_0.tiff
out_ori: -0.09294243901968002, out_cpy: -1.5348443984985352, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_5_0.tiff
out_ori: -0.2699570953845978, out_cpy: -1.711859107017517, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_6_0.tiff
out_ori: -0.040176235139369965, out_cpy: 2.0361294746398926, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_7_0.tiff
out_ori: -0.15076981484889984, out_cpy: 0.1642729789018631, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_8_0.tiff
out_ori: -0.06533882021903992, out_cpy: 1.2796229124069214, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_9_0.tiff
out_ori: -0.037335120141506195, out_cpy: 4.102179527282715, target: 2.5021090507507324, filename ./data/p007/Tiles_156/p007_10_0.tiff
out_ori: -0.03224542364478111, out_cpy: 2.611588716506958, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_11_0.tiff
out_ori: -0.11414317786693573, out_cpy: 0.20089960098266602, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_12_0.tiff
out_ori: -0.0880996435880661, out_cpy: 1.988206148147583, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_13_0.tiff
out_ori: -0.014533868059515953, out_cpy: 2.061771869659424, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_14_0.tiff
out_ori: -0.006220519542694092, out_cpy: 1.338741421699524, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_15_0.tiff
out_ori: -0.00019615917699411511, out_cpy: 5.264076232910156, target: 3.1819632053375244, filename ./data/p007/Tiles_156/p007_17_0.tiff
out_ori: -0.005820618476718664, out_cpy: 5.59843111038208, target: 3.3874619007110596, filename ./data/p007/Tiles_156/p007_18_0.tiff
out_ori: -0.018156740814447403, out_cpy: 4.853665828704834, target: 2.944748878479004, filename ./data/p007/Tiles_156/p007_19_0.tiff
out_ori: -0.03137606382369995, out_cpy: 2.6124579906463623, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_20_0.tiff
out_ori: -0.4124736189842224, out_cpy: -0.4124736189842224, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_0_0.tiff
out_ori: -0.43262654542922974, out_cpy: -0.43262654542922974, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_2_0.tiff
out_ori: -0.7158432602882385, out_cpy: -0.7158432006835938, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_3_0.tiff
out_ori: -0.41866886615753174, out_cpy: -0.4186688959598541, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_4_0.tiff
out_ori: -0.09294243901968002, out_cpy: -0.09294243156909943, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_5_0.tiff
out_ori: -0.2699570953845978, out_cpy: -0.2699570953845978, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_6_0.tiff
out_ori: -0.040176235139369965, out_cpy: -0.04017623886466026, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_7_0.tiff
out_ori: -0.15076981484889984, out_cpy: -0.15076981484889984, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_8_0.tiff
out_ori: -0.06533882021903992, out_cpy: -0.06533882021903992, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_9_0.tiff
out_ori: -0.037335120141506195, out_cpy: -0.037335120141506195, target: 2.5021090507507324, filename ./data/p007/Tiles_156/p007_10_0.tiff
out_ori: -0.03224542364478111, out_cpy: -0.03224542364478111, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_11_0.tiff
out_ori: -0.11414317786693573, out_cpy: -0.11414317786693573, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_12_0.tiff
out_ori: -0.0880996435880661, out_cpy: -0.0880996510386467, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_13_0.tiff
out_ori: -0.014533868059515953, out_cpy: -0.014533868059515953, target: 1.2550126314163208, filename ./data/p007/Tiles_156/p007_14_0.tiff
out_ori: -0.006220519542694092, out_cpy: -0.0062205176800489426, target: 0.8129554390907288, filename ./data/p007/Tiles_156/p007_15_0.tiff
out_ori: -0.00019615917699411511, out_cpy: -0.00019615917699411511, target: 3.1819632053375244, filename ./data/p007/Tiles_156/p007_17_0.tiff
out_ori: -0.005820618476718664, out_cpy: -0.005820617079734802, target: 3.3874619007110596, filename ./data/p007/Tiles_156/p007_18_0.tiff
out_ori: -0.018156740814447403, out_cpy: -0.018156742677092552, target: 2.944748878479004, filename ./data/p007/Tiles_156/p007_19_0.tiff
out_ori: -0.03137606382369995, out_cpy: -0.03137606382369995, target: 1.5980522632598877, filename ./data/p007/Tiles_156/p007_20_0.tiff
out_ori: -0.4124736189842224, out_ref: -0.4124736189842224, target: 0.1904260367155075, filename ./data/p007/Tiles_156/p007_0_0.tiff
out_ori: -0.43262654542922974, out_ref: -0.43262654542922974, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_2_0.tiff
out_ori: -0.7158432602882385, out_ref: -0.7158432006835938, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_3_0.tiff
out_ori: -0.41866886615753174, out_ref: -0.4186688959598541, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_4_0.tiff
out_ori: -0.09294243901968002, out_ref: -0.09294243156909943, target: -0.871550440788269, filename ./data/p007/Tiles_156/p007_5_0.tiff
